,item1,item2,Support,Confidence,Lift,Conviction
0,"['soda', 'UHT-milk']",['bottled water'],0.0028469750889679717,0.37333333333333335,3.3778595522845754,1.5912016354963276
0,"['baking powder', 'rolls/buns']",['other vegetables'],0.002135231316725979,0.6000000000000001,3.1008933263268528,2.4946619217081856
0,"['other vegetables', 'baking powder']",['root vegetables'],0.002541942043721403,0.3472222222222222,3.185569548092869,1.5280208547415333
0,"['other vegetables', 'baking powder']",['whipped/sour cream'],0.002440264361972547,0.33333333333333337,4.6501182033096935,1.4963396034570413
0,"['whole milk', 'baking powder']",['whipped/sour cream'],0.0026436197254702592,0.28571428571428575,3.98581560283688,1.3962989323843418
0,"['bottled water', 'beef']",['root vegetables'],0.002440264361972547,0.3934426229508197,3.609615855150478,1.644625510105937
0,"['butter', 'beef']",['root vegetables'],0.0029486527707168276,0.5087719298245614,4.667697695731867,2.0297116711453267
0,"['butter', 'beef']",['yogurt'],0.0027452974072191155,0.4736842105263158,3.3955424274973147,1.8947839349262838
0,"['citrus fruit', 'beef']",['root vegetables'],0.003863751906456533,0.45783132530120485,4.200346160762454,1.8373179687058692
0,"['tropical fruit', 'beef']",['citrus fruit'],0.0020335536349771225,0.26666666666666666,3.221949221949222,1.3608633359523037
0,"['curd', 'beef']",['root vegetables'],0.002135231316725979,0.4565217391304348,4.188331440622973,1.8360711743772242
0,"['curd', 'beef']",['yogurt'],0.002135231316725979,0.4565217391304348,3.2725155279503104,1.8360711743772242
0,"['domestic eggs', 'beef']",['root vegetables'],0.002338586680223691,0.38983050847457623,3.576476726536807,1.6350562051629667
0,"['fruit/vegetable juice', 'beef']",['root vegetables'],0.0022369089984748346,0.44,4.036753731343284,1.7817198053598662
0,"['newspapers', 'beef']",['root vegetables'],0.0027452974072191155,0.4285714285714286,3.931902985074627,1.7451957295373668
0,"['other vegetables', 'beef']",['pork'],0.004168784951703101,0.211340206185567,3.665839378897798,1.2626879458782327
0,"['other vegetables', 'beef']",['root vegetables'],0.007930859176410779,0.40206185567010316,3.688692491152486,1.6591501148256582
0,"['tropical fruit', 'beef']",['other vegetables'],0.004473817996949669,0.5866666666666667,3.031984585741811,2.408531085491251
0,"['pip fruit', 'beef']",['root vegetables'],0.002338586680223691,0.47916666666666663,4.396085976368159,1.9155099135739704
0,"['pork', 'beef']",['root vegetables'],0.0027452974072191155,0.36000000000000004,3.302798507462687,1.5582104728012205
0,"['rolls/buns', 'beef']",['root vegetables'],0.00498220640569395,0.3656716417910448,3.354832646469147,1.5686162863722004
0,"['sausage', 'beef']",['root vegetables'],0.0029486527707168276,0.5272727272727272,4.837432157394844,2.1091470806773294
0,"['soda', 'beef']",['root vegetables'],0.003965429588205389,0.48750000000000004,4.472539645522389,1.94348208860838
0,"['tropical fruit', 'beef']",['root vegetables'],0.0037620742247076767,0.49333333333333335,4.526057213930349,1.9662590640301825
0,"['whipped/sour cream', 'beef']",['root vegetables'],0.0027452974072191155,0.4090909090909091,3.7531801221166896,1.6876618043877833
0,"['whole milk', 'beef']",['root vegetables'],0.008032536858159633,0.37799043062200954,3.467850639148754,1.5947784599741894
0,"['yogurt', 'beef']",['root vegetables'],0.004575495678698526,0.391304347826087,3.5899983776768334,1.635340257099281
0,"['yogurt', 'beef']",['whipped/sour cream'],0.002541942043721403,0.21739130434782605,3.0326857847671906,1.2745297407219116
0,"['whole milk', 'berries']",['butter'],0.002440264361972547,0.20689655172413796,3.733628598544765,1.2577927101522954
0,"['berries', 'other vegetables']",['whipped/sour cream'],0.0022369089984748346,0.21782178217821782,3.0386911031528685,1.2756211669766333
0,"['whole milk', 'berries']",['whipped/sour cream'],0.004270462633451958,0.36206896551724144,5.050990462215702,1.560873328844859
0,"['yogurt', 'berries']",['whipped/sour cream'],0.0029486527707168276,0.27884615384615385,3.8900027277686853,1.3825778681579393
0,"['bottled beer', 'citrus fruit']",['bottled water'],0.0022369089984748346,0.36666666666666664,3.3175406317080647,1.5754154068445134
0,"['bottled beer', 'fruit/vegetable juice']",['bottled water'],0.002541942043721403,0.36231884057971014,3.2782022052451234,1.5641955908859826
0,"['bottled beer', 'yogurt']",['fruit/vegetable juice'],0.0020335536349771225,0.2197802197802198,3.040138483176458,1.2790837552002405
0,"['bottled water', 'butter']",['root vegetables'],0.003355363497712252,0.375,3.4404151119402986,1.5946314184036603
0,"['bottled water', 'curd']",['tropical fruit'],0.002135231316725979,0.35000000000000003,3.335513565891473,1.535176567205037
0,"['bottled water', 'curd']",['yogurt'],0.0026436197254702592,0.4333333333333333,3.106292517006802,1.7600406710726997
0,"['bottled water', 'domestic eggs']",['margarine'],0.002135231316725979,0.23333333333333334,3.9840856481481484,1.3015627417607922
0,"['bottled water', 'frozen vegetables']",['tropical fruit'],0.002338586680223691,0.3770491803278689,3.5932933028339056,1.6015091108554302
0,"['bottled water', 'hygiene articles']",['tropical fruit'],0.002135231316725979,0.375,3.573764534883721,1.5965836298932383
0,"['onions', 'bottled water']",['root vegetables'],0.0022369089984748346,0.3793103448275862,3.4799601132269684,1.607507202169124
0,"['bottled water', 'pork']",['root vegetables'],0.002440264361972547,0.32876712328767127,3.016254344714783,1.4861604224811429
0,"['brown bread', 'citrus fruit']",['pip fruit'],0.002135231316725979,0.2560975609756098,3.3853756884343045,1.3413919841316142
0,"['brown bread', 'root vegetables']",['citrus fruit'],0.002541942043721403,0.25,3.0205773955773956,1.3299440772750382
0,"['brown bread', 'curd']",['yogurt'],0.002338586680223691,0.47916666666666663,3.434842687074829,1.9155099135739704
0,"['brown bread', 'root vegetables']",['fruit/vegetable juice'],0.0022369089984748346,0.22,3.0431786216596346,1.2791834500019552
0,"['brown bread', 'tropical fruit']",['fruit/vegetable juice'],0.002541942043721403,0.23809523809523808,3.293483356774496,1.3091637010676158
0,"['brown bread', 'whipped/sour cream']",['other vegetables'],0.003050330452465684,0.6521739130434783,3.3705362242683177,2.8662302999491613
0,"['brown bread', 'pip fruit']",['tropical fruit'],0.002440264361972547,0.32,3.049612403100775,1.4669996112323935
